day,dose,rep,scan,label,n_slices,name,cohort
Day10,100,1,23306,1,72,CRI_D10_100_1_23306_01,B_late
Day10,100,2,23307,1,72,CRI_D10_100_2_23307_01,B_late
Day10,100,3,23308,1,72,CRI_D10_100_3_23308_01,B_late
Day10,100,4,23309,1,72,CRI_D10_100_4_23309_01,B_late
Day10,100,5,23310,1,72,CRI_D10_100_5_23310_01,B_late
Day10,100,1,23144,1,72,CRI_D10_100-1_23144_01,A_early
Day10,100,2,23145,1,72,CRI_D10_100-2_23145_01,A_early
Day10,100,3,23146,1,72,CRI_D10_100-3_23146_01,A_early
Day10,100,4,23147,1,72,CRI_D10_100-4_23147_01,A_early
Day10,100,5,23148,1,72,CRI_D10_100-5_23148_01,A_early
Day10,100,6,23149,1,72,CRI_D10_100-6_23149_01,A_early
Day10,50,1,23300,1,72,CRI_D10_50_1_23300_01,B_late
Day10,50,2,23301,1,72,CRI_D10_50_2_23301_01,B_late
Day10,50,3,23302,1,72,CRI_D10_50_3_23302_01,B_late
Day10,50,4,23303,1,72,CRI_D10_50_4_23303_01,B_late
Day10,50,5,23304,1,72,CRI_D10_50_5_23304_01,B_late
Day10,50,6,23305,1,72,CRI_D10_50_6_23305_01,B_late
Day10,50,1,23150,1,72,CRI_D10_50-1_23150_01,A_early
Day10,50,2,23151,1,72,CRI_D10_50-2_23151_01,A_early
Day10,50,3,23152,1,72,CRI_D10_50-3_23152_01,A_early
Day10,50,4,23153,1,72,CRI_D10_50-4_23153_01,A_early
Day10,50,5,23154,1,72,CRI_D10_50-5_23154_01,A_early
Day10,50,6,23155,1,72,CRI_D10_50-6_23155_01,A_early
Day10,500,1,23312,1,72,CRI_D10_500_1_23312_01,B_late
Day10,500,2,23313,1,72,CRI_D10_500_2_23313_01,B_late
Day10,500,3,23314,1,72,CRI_D10_500_3_23314_01,B_late
Day10,500,4,23315,1,72,CRI_D10_500_4_23315_01,B_late
Day10,500,5,23316,1,72,CRI_D10_500_5_23316_01,B_late
Day10,500,6,23317,1,72,CRI_D10_500_6_23317_01,B_late
Day10,500,1,23138,1,72,CRI_D10_500-1_23138_01,A_early
Day10,500,2,23139,1,72,CRI_D10_500-2_23139_01,A_early
Day10,500,4,23141,1,72,CRI_D10_500-4_23141_01,A_early
Day10,500,5,23142,1,72,CRI_D10_500-5_23142_01,A_early
Day10,500,6,23143,1,72,CRI_D10_500-6_23143_01,A_early
Day10,ctrl,1,23294,0,72,CRI_D10_cntrl_1_23294_01,B_late
Day10,ctrl,2,23295,0,72,CRI_D10_cntrl_2_23295_01,B_late
Day10,ctrl,3,23296,0,72,CRI_D10_cntrl_3_23296_01,B_late
Day10,ctrl,4,23297,0,72,CRI_D10_cntrl_4_23297_01,B_late
Day10,ctrl,5,23298,0,72,CRI_D10_cntrl_5_23298_01,B_late
Day10,ctrl,6,23299,0,72,CRI_D10_cntrl_6_23299_01,B_late
Day10,ctrl,1,23156,0,72,CRI_D10_contr_1_23156_01,A_early
Day10,ctrl,2,23157,0,72,CRI_D10_contr_2_23157_01,A_early
Day10,ctrl,3,23158,0,72,CRI_D10_contr_3_23158_01,A_early
Day10,ctrl,4,23159,0,72,CRI_D10_contr_4_23159_01,A_early
Day10,ctrl,5,23160,0,72,CRI_D10_contr_5_23160_01,A_early
