fruit_id,day,n_slices
CRI_D10_100-1_23144_01,10,72
CRI_D10_100-2_23145_01,10,72
CRI_D10_100-3_23146_01,10,72
CRI_D10_100-4_23147_01,10,72
CRI_D10_100-5_23148_01,10,72
CRI_D10_100-6_23149_01,10,72
CRI_D10_100_1_23306_01,10,72
CRI_D10_100_2_23307_01,10,72
CRI_D10_100_3_23308_01,10,72
CRI_D10_100_4_23309_01,10,72
CRI_D10_100_5_23310_01,10,72
CRI_D10_50-1_23150_01,10,72
CRI_D10_50-2_23151_01,10,72
CRI_D10_50-3_23152_01,10,72
CRI_D10_50-4_23153_01,10,72
CRI_D10_50-5_23154_01,10,72
CRI_D10_50-6_23155_01,10,72
CRI_D10_500-1_23138_01,10,72
CRI_D10_500-2_23139_01,10,72
CRI_D10_500-4_23141_01,10,72
CRI_D10_500-5_23142_01,10,72
CRI_D10_500-6_23143_01,10,72
CRI_D10_500_1_23312_01,10,72
CRI_D10_500_2_23313_01,10,72
CRI_D10_500_3_23314_01,10,72
CRI_D10_500_4_23315_01,10,72
CRI_D10_500_5_23316_01,10,72
CRI_D10_500_6_23317_01,10,72
CRI_D10_50_1_23300_01,10,72
CRI_D10_50_2_23301_01,10,72
CRI_D10_50_3_23302_01,10,72
CRI_D10_50_4_23303_01,10,72
CRI_D10_50_5_23304_01,10,72
CRI_D10_50_6_23305_01,10,72
CRI_D10_cntrl_1_23294_01,10,72
CRI_D10_cntrl_2_23295_01,10,72
CRI_D10_cntrl_3_23296_01,10,72
CRI_D10_cntrl_4_23297_01,10,72
CRI_D10_cntrl_5_23298_01,10,72
CRI_D10_cntrl_6_23299_01,10,72
CRI_D10_contr_1_23156_01,10,72
CRI_D10_contr_2_23157_01,10,72
CRI_D10_contr_3_23158_01,10,72
CRI_D10_contr_4_23159_01,10,72
CRI_D10_contr_5_23160_01,10,72
CRI_D10_contr_6_23161_01,10,72
CRI_4_100_1_23378_01,4,72
CRI_4_100_2_23379_01,4,72
CRI_4_100_3_23380_01,4,72
CRI_4_100_4_23381_01,4,72
CRI_4_100_5_23382_01,4,72
CRI_4_100_6_23383_01,4,72
CRI_4_50_1_23372_01,4,72
CRI_4_50_2_23373_01,4,72
CRI_4_50_3_23374_01,4,72
CRI_4_50_4_23375_01,4,72
CRI_4_50_5_23376_01,4,72
CRI_4_50_6_23377_01,4,72
CRI_4_cntrl_1_23366_01,4,72
CRI_4_cntrl_2_23367_01,4,72
CRI_4_cntrl_3_23368_01,4,72
CRI_4_cntrl_4_23369_01,4,72
CRI_4_cntrl_5_23370_01,4,72
CRI_4_cntrl_6_23371_01,4,72
CRI_D4_100_1_23216_01,4,72
CRI_D4_100_2_23217_01,4,72
CRI_D4_100_3_23218_01,4,72
CRI_D4_100_4_23219_01,4,72
CRI_D4_100_5_23220_01,4,72
CRI_D4_100_6_23221_01,4,72
CRI_D4_500_1_23210_01,4,72
CRI_D4_500_1_23384_01,4,72
CRI_D4_500_2_23211_01,4,72
CRI_D4_500_2_23385_01,4,72
CRI_D4_500_3_23212_01,4,72
CRI_D4_500_3_23386_01,4,72
CRI_D4_500_4_23213_01,4,72
CRI_D4_500_4_23387_01,4,72
CRI_D4_500_5_23214_01,4,72
CRI_D4_500_5_23388_01,4,72
CRI_D4_500_6_23215_01,4,72
CRI_D4_500_6_23389_01,4,72
CRI_D4_50_1_23222_01,4,72
CRI_D4_50_2_23223.01,4,72
CRI_D4_50_3_23224_01,4,72
CRI_D4_50_4_23225_01,4,72
CRI_D4_50_5_23226_01,4,72
CRI_D4_50_6_23227_01,4,72
CRI_D4_Ctrl_1_23228_01,4,72
CRI_D4_Ctrl_2_23229_01,4,72
CRI_D4_Ctrl_3_23230_01,4,72
CRI_D4_Ctrl_4_23231_01,4,72
CRI_D4_Ctrl_5_23232_01,4,72
CRI_D4_Ctrl_6_23233_01,4,72
CRI_D5_100_1_23192_01,5,72
CRI_D5_100_1_23354_01,5,72
CRI_D5_100_2_23193_01,5,72
CRI_D5_100_2_23355_01,5,72
CRI_D5_100_3_23194_01,5,72
